State,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,9135.0,2130.0,2948.0,3761.0,3470.0,3767.0,3069.0,2936.0,31216.0
ASSAM,398.0,38.0,27.0,13.0,19.0,54.0,25.0,18.0,592.0
BIHAR,4493.0,288.0,297.0,254.0,176.0,163.0,352.0,417.0,6440.0
GOA,1.0,0.0,8.0,7.0,0.0,2.0,1.0,0.0,19.0
HARYANA,2389.0,1371.0,712.0,639.0,454.0,372.0,299.0,178.0,6414.0
HIMACHAL PRADESH,166.0,25.0,9.0,5.0,7.0,10.0,2.0,6.0,230.0
JAMMU & KASHMIR,83.0,5.0,2.0,0.0,3.0,0.0,4.0,0.0,97.0
KARNATAKA,25538.0,12293.0,14016.0,18634.0,21339.0,20540.0,16183.0,22039.0,150582.0
KERALA,29.0,19.0,49.0,14.0,34.0,12.0,25.0,16.0,198.0
MADHYA PRADESH,7859.0,1962.0,1934.0,1571.0,3445.0,2681.0,2581.0,2418.0,24451.0
MEGHALAYA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
NAGALAND,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0
ORISSA,2344.0,155.0,73.0,71.0,89.0,66.0,57.0,56.0,2911.0
PUNJAB,720.0,198.0,254.0,368.0,287.0,134.0,153.0,163.0,2277.0
RAJASTHAN,1919.0,601.0,1094.0,923.0,1581.0,1822.0,2284.0,2326.0,12550.0
TAMIL NADU,14582.0,2752.0,2684.0,3209.0,2844.0,2306.0,1288.0,3301.0,32966.0
TRIPURA,65.0,8.0,6.0,4.0,12.0,13.0,10.0,13.0,131.0
UTTAR PRADESH,8169.0,681.0,614.0,807.0,495.0,263.0,231.0,365.0,11625.0
WEST BENGAL,2787.0,125.0,82.0,80.0,122.0,195.0,241.0,407.0,4039.0
DELHI,157.0,80.0,65.0,50.0,116.0,91.0,78.0,54.0,691.0
PONDICHERRY,170.0,16.0,29.0,47.0,49.0,39.0,31.0,37.0,418.0
